LogLine,Category,Attribution,Symbols,Evidence,SourceMods,Component,OriginalOwner,Files,Message
10920,variable_unused,Symbol only in AGOT+ effective text,asoiaf_canon_children_Arryn_84_born_variable,AGOT+ | Исправления совместимости: common/scripted_effects/asoiaf_assign_inactive_traits_effects.txt:1979,AGOT+ | Исправления совместимости,jomini_effect.cpp:1145,,,Variable 'asoiaf_canon_children_Arryn_84_born_variable' is set but is never used. Note that use in localization doesn't count due to technical limitations. Use in unused scripted triggers and effects also does not count
10922,variable_unused,Symbol only in AGOT+ effective text,asoiaf_is_red_vipers_spear,AGOT+ | Исправления совместимости: common/scripted_effects/asoiaf_scripted_effects_artifacts.txt:1629,AGOT+ | Исправления совместимости,jomini_effect.cpp:1145,,,Variable 'asoiaf_is_red_vipers_spear' is set but is never used. Note that use in localization doesn't count due to technical limitations. Use in unused scripted triggers and effects also does not count
10923,variable_unused,Symbol only in AGOT+ effective text,agot_faegon_jon_snow_char,AGOT+ | Исправления совместимости: common/scripted_effects/asoiaf_agot_overwrite_effects.txt:52,AGOT+ | Исправления совместимости,jomini_effect.cpp:1145,,,Variable 'agot_faegon_jon_snow_char' is set but is never used. Note that use in localization doesn't count due to technical limitations. Use in unused scripted triggers and effects also does not count
10924,variable_unused,Symbol only in AGOT+ effective text,asoiaf_canon_children_Stark_1_born_variable,AGOT+ | Исправления совместимости: common/scripted_effects/asoiaf_assign_inactive_traits_effects.txt:1441,AGOT+ | Исправления совместимости,jomini_effect.cpp:1145,,,Variable 'asoiaf_canon_children_Stark_1_born_variable' is set but is never used. Note that use in localization doesn't count due to technical limitations. Use in unused scripted triggers and effects also does not count
10925,variable_unused,Symbol only in AGOT+ effective text,asoiaf_canon_children_Strong_29_born_variable,AGOT+ | Исправления совместимости: common/scripted_effects/asoiaf_assign_inactive_traits_effects.txt:2498,AGOT+ | Исправления совместимости,jomini_effect.cpp:1145,,,Variable 'asoiaf_canon_children_Strong_29_born_variable' is set but is never used. Note that use in localization doesn't count due to technical limitations. Use in unused scripted triggers and effects also does not count
10927,variable_unused,Symbol only in AGOT+ effective text,asoiaf_canon_children_Tyrell_4_born_variable,AGOT+ | Исправления совместимости: common/scripted_effects/asoiaf_assign_inactive_traits_effects.txt:2125,AGOT+ | Исправления совместимости,jomini_effect.cpp:1145,,,Variable 'asoiaf_canon_children_Tyrell_4_born_variable' is set but is never used. Note that use in localization doesn't count due to technical limitations. Use in unused scripted triggers and effects also does not count
10928,variable_unused,Symbol only in AGOT+ effective text,asoiaf_canon_children_Baratheon_75_born_variable,AGOT+ | Исправления совместимости: common/scripted_effects/asoiaf_assign_inactive_traits_effects.txt:1666,AGOT+ | Исправления совместимости,jomini_effect.cpp:1145,,,Variable 'asoiaf_canon_children_Baratheon_75_born_variable' is set but is never used. Note that use in localization doesn't count due to technical limitations. Use in unused scripted triggers and effects also does not count
10929,variable_unused,Symbol only in AGOT+ effective text,asoiaf_canon_children_Stark_84_born_variable,AGOT+ | Исправления совместимости: common/scripted_effects/asoiaf_assign_inactive_traits_effects.txt:1287,AGOT+ | Исправления совместимости,jomini_effect.cpp:1145,,,Variable 'asoiaf_canon_children_Stark_84_born_variable' is set but is never used. Note that use in localization doesn't count due to technical limitations. Use in unused scripted triggers and effects also does not count
10930,variable_unused,Symbol only in AGOT+ effective text,asoiaf_canon_children_Arryn_80_born_variable,AGOT+ | Исправления совместимости: common/scripted_effects/asoiaf_assign_inactive_traits_effects.txt:1968,AGOT+ | Исправления совместимости,jomini_effect.cpp:1145,,,Variable 'asoiaf_canon_children_Arryn_80_born_variable' is set but is never used. Note that use in localization doesn't count due to technical limitations. Use in unused scripted triggers and effects also does not count
10932,variable_unused,Symbol only in AGOT+ effective text,asoiaf_canon_children_Targaryen_96_born_variable,AGOT+ | Исправления совместимости: common/scripted_effects/asoiaf_assign_inactive_traits_effects.txt:825,AGOT+ | Исправления совместимости,jomini_effect.cpp:1145,,,Variable 'asoiaf_canon_children_Targaryen_96_born_variable' is set but is never used. Note that use in localization doesn't count due to technical limitations. Use in unused scripted triggers and effects also does not count
