Category,Diagnostic,Messages,FirstLogLine,Files
dna_missing_gene,gene_face_dacals,172,1472,common/dna_data/test_dna_crownlands.txt | common/dna_data/test_dna_dornish.txt | common/dna_data/test_dna_essos.txt | common/dna_data/test_dna_iron_isles.txt | common/dna_data/test_dna_north.txt | common/dna_data/test_dna_reach.txt | common/dna_data/test_dna_riverlands.txt | common/dna_data/test_dna_stormlands.txt | common/dna_data/test_dna_vale.txt | common/dna_data/test_dna_valyrian.txt | common/dna_data/test_dna_westerlands.txt
dna_missing_gene,skin_color_saturation,53,1497,common/dna_data/test_dna_crownlands.txt | common/dna_data/test_dna_dornish.txt | common/dna_data/test_dna_essos.txt | common/dna_data/test_dna_iron_isles.txt | common/dna_data/test_dna_north.txt | common/dna_data/test_dna_reach.txt | common/dna_data/test_dna_riverlands.txt | common/dna_data/test_dna_stormlands.txt | common/dna_data/test_dna_vale.txt | common/dna_data/test_dna_valyrian.txt | common/dna_data/test_dna_westerlands.txt
dna_template,Unknown gene_dragon_main_horn_shape gene template dragon_horns_none,64,1512,common/bookmark_portraits/bookmark_209_egg.txt | common/bookmark_portraits/bookmark_284_cressen.txt | common/dna_data/test_dna_crownlands.txt | common/dna_data/test_dna_dornish.txt | common/dna_data/test_dna_iron_isles.txt | common/dna_data/test_dna_north.txt | common/dna_data/test_dna_reach.txt | common/dna_data/test_dna_riverlands.txt | common/dna_data/test_dna_stormlands.txt | common/dna_data/test_dna_valyrian.txt | common/dna_data/test_dna_vanity.txt | common/dna_data/test_dna_westerlands.txt
dna_template,Unknown gene_hair_type gene template hair_afro_no_beard,4,8518,common/dna_data/test_dna_valyrian.txt
dna_unknown_gene,gene_bs_eye_fold_2,124,1470,common/dna_data/test_dna_crownlands.txt | common/dna_data/test_dna_dornish.txt | common/dna_data/test_dna_essos.txt | common/dna_data/test_dna_iron_isles.txt | common/dna_data/test_dna_north.txt | common/dna_data/test_dna_reach.txt | common/dna_data/test_dna_riverlands.txt | common/dna_data/test_dna_stormlands.txt | common/dna_data/test_dna_vale.txt | common/dna_data/test_dna_valyrian.txt | common/dna_data/test_dna_westerlands.txt
dna_unknown_gene,gene_bs_head_round_shape,175,1471,common/bookmark_portraits/bookmark_106_alicent_hightower.txt | common/bookmark_portraits/bookmark_106_viserys_targaryen.txt | common/bookmark_portraits/bookmark_82_osmund_strong.txt | common/dna_data/test_dna_crownlands.txt | common/dna_data/test_dna_dornish.txt | common/dna_data/test_dna_essos.txt | common/dna_data/test_dna_iron_isles.txt | common/dna_data/test_dna_north.txt | common/dna_data/test_dna_reach.txt | common/dna_data/test_dna_riverlands.txt | common/dna_data/test_dna_stormlands.txt | common/dna_data/test_dna_vale.txt | common/dna_data/test_dna_valyrian.txt | common/dna_data/test_dna_westerlands.txt
dna_unknown_gene,gene_dragon_eye_hue,191,1462,common/bookmark_portraits/bookmark_106_alicent_hightower.txt | common/bookmark_portraits/bookmark_106_viserys_targaryen.txt | common/bookmark_portraits/bookmark_209_egg.txt | common/bookmark_portraits/bookmark_284_cressen.txt | common/bookmark_portraits/bookmark_82_osmund_strong.txt | common/dna_data/test_dna_crownlands.txt | common/dna_data/test_dna_dornish.txt | common/dna_data/test_dna_essos.txt | common/dna_data/test_dna_iron_isles.txt | common/dna_data/test_dna_north.txt | common/dna_data/test_dna_reach.txt | common/dna_data/test_dna_riverlands.txt | common/dna_data/test_dna_stormlands.txt | common/dna_data/test_dna_vale.txt | common/dna_data/test_dna_valyrian.txt | common/dna_data/test_dna_vanity.txt | common/dna_data/test_dna_westerlands.txt
dna_unknown_gene,gene_dragon_eye_value,191,1463,common/bookmark_portraits/bookmark_106_alicent_hightower.txt | common/bookmark_portraits/bookmark_106_viserys_targaryen.txt | common/bookmark_portraits/bookmark_209_egg.txt | common/bookmark_portraits/bookmark_284_cressen.txt | common/bookmark_portraits/bookmark_82_osmund_strong.txt | common/dna_data/test_dna_crownlands.txt | common/dna_data/test_dna_dornish.txt | common/dna_data/test_dna_essos.txt | common/dna_data/test_dna_iron_isles.txt | common/dna_data/test_dna_north.txt | common/dna_data/test_dna_reach.txt | common/dna_data/test_dna_riverlands.txt | common/dna_data/test_dna_stormlands.txt | common/dna_data/test_dna_vale.txt | common/dna_data/test_dna_valyrian.txt | common/dna_data/test_dna_vanity.txt | common/dna_data/test_dna_westerlands.txt
dna_unknown_gene,gene_dragon_highlight_hue,191,1460,common/bookmark_portraits/bookmark_106_alicent_hightower.txt | common/bookmark_portraits/bookmark_106_viserys_targaryen.txt | common/bookmark_portraits/bookmark_209_egg.txt | common/bookmark_portraits/bookmark_284_cressen.txt | common/bookmark_portraits/bookmark_82_osmund_strong.txt | common/dna_data/test_dna_crownlands.txt | common/dna_data/test_dna_dornish.txt | common/dna_data/test_dna_essos.txt | common/dna_data/test_dna_iron_isles.txt | common/dna_data/test_dna_north.txt | common/dna_data/test_dna_reach.txt | common/dna_data/test_dna_riverlands.txt | common/dna_data/test_dna_stormlands.txt | common/dna_data/test_dna_vale.txt | common/dna_data/test_dna_valyrian.txt | common/dna_data/test_dna_vanity.txt | common/dna_data/test_dna_westerlands.txt
dna_unknown_gene,gene_dragon_highlight_value,191,1461,common/bookmark_portraits/bookmark_106_alicent_hightower.txt | common/bookmark_portraits/bookmark_106_viserys_targaryen.txt | common/bookmark_portraits/bookmark_209_egg.txt | common/bookmark_portraits/bookmark_284_cressen.txt | common/bookmark_portraits/bookmark_82_osmund_strong.txt | common/dna_data/test_dna_crownlands.txt | common/dna_data/test_dna_dornish.txt | common/dna_data/test_dna_essos.txt | common/dna_data/test_dna_iron_isles.txt | common/dna_data/test_dna_north.txt | common/dna_data/test_dna_reach.txt | common/dna_data/test_dna_riverlands.txt | common/dna_data/test_dna_stormlands.txt | common/dna_data/test_dna_vale.txt | common/dna_data/test_dna_valyrian.txt | common/dna_data/test_dna_vanity.txt | common/dna_data/test_dna_westerlands.txt
dna_unknown_gene,gene_dragon_horn_hue,191,1464,common/bookmark_portraits/bookmark_106_alicent_hightower.txt | common/bookmark_portraits/bookmark_106_viserys_targaryen.txt | common/bookmark_portraits/bookmark_209_egg.txt | common/bookmark_portraits/bookmark_284_cressen.txt | common/bookmark_portraits/bookmark_82_osmund_strong.txt | common/dna_data/test_dna_crownlands.txt | common/dna_data/test_dna_dornish.txt | common/dna_data/test_dna_essos.txt | common/dna_data/test_dna_iron_isles.txt | common/dna_data/test_dna_north.txt | common/dna_data/test_dna_reach.txt | common/dna_data/test_dna_riverlands.txt | common/dna_data/test_dna_stormlands.txt | common/dna_data/test_dna_vale.txt | common/dna_data/test_dna_valyrian.txt | common/dna_data/test_dna_vanity.txt | common/dna_data/test_dna_westerlands.txt
dna_unknown_gene,gene_dragon_horn_value,191,1465,common/bookmark_portraits/bookmark_106_alicent_hightower.txt | common/bookmark_portraits/bookmark_106_viserys_targaryen.txt | common/bookmark_portraits/bookmark_209_egg.txt | common/bookmark_portraits/bookmark_284_cressen.txt | common/bookmark_portraits/bookmark_82_osmund_strong.txt | common/dna_data/test_dna_crownlands.txt | common/dna_data/test_dna_dornish.txt | common/dna_data/test_dna_essos.txt | common/dna_data/test_dna_iron_isles.txt | common/dna_data/test_dna_north.txt | common/dna_data/test_dna_reach.txt | common/dna_data/test_dna_riverlands.txt | common/dna_data/test_dna_stormlands.txt | common/dna_data/test_dna_vale.txt | common/dna_data/test_dna_valyrian.txt | common/dna_data/test_dna_vanity.txt | common/dna_data/test_dna_westerlands.txt
dna_unknown_gene,gene_dragon_scales_effect,16,1514,common/dna_data/test_dna_crownlands.txt | common/dna_data/test_dna_dornish.txt | common/dna_data/test_dna_reach.txt | common/dna_data/test_dna_riverlands.txt | common/dna_data/test_dna_stormlands.txt | common/dna_data/test_dna_valyrian.txt | common/dna_data/test_dna_westerlands.txt
dna_unknown_gene,gene_dragon_skin_hue,191,1458,common/bookmark_portraits/bookmark_106_alicent_hightower.txt | common/bookmark_portraits/bookmark_106_viserys_targaryen.txt | common/bookmark_portraits/bookmark_209_egg.txt | common/bookmark_portraits/bookmark_284_cressen.txt | common/bookmark_portraits/bookmark_82_osmund_strong.txt | common/dna_data/test_dna_crownlands.txt | common/dna_data/test_dna_dornish.txt | common/dna_data/test_dna_essos.txt | common/dna_data/test_dna_iron_isles.txt | common/dna_data/test_dna_north.txt | common/dna_data/test_dna_reach.txt | common/dna_data/test_dna_riverlands.txt | common/dna_data/test_dna_stormlands.txt | common/dna_data/test_dna_vale.txt | common/dna_data/test_dna_valyrian.txt | common/dna_data/test_dna_vanity.txt | common/dna_data/test_dna_westerlands.txt
dna_unknown_gene,gene_dragon_skin_value,191,1459,common/bookmark_portraits/bookmark_106_alicent_hightower.txt | common/bookmark_portraits/bookmark_106_viserys_targaryen.txt | common/bookmark_portraits/bookmark_209_egg.txt | common/bookmark_portraits/bookmark_284_cressen.txt | common/bookmark_portraits/bookmark_82_osmund_strong.txt | common/dna_data/test_dna_crownlands.txt | common/dna_data/test_dna_dornish.txt | common/dna_data/test_dna_essos.txt | common/dna_data/test_dna_iron_isles.txt | common/dna_data/test_dna_north.txt | common/dna_data/test_dna_reach.txt | common/dna_data/test_dna_riverlands.txt | common/dna_data/test_dna_stormlands.txt | common/dna_data/test_dna_vale.txt | common/dna_data/test_dna_valyrian.txt | common/dna_data/test_dna_vanity.txt | common/dna_data/test_dna_westerlands.txt
dna_unknown_gene,gene_eye_shut_bottom,53,1468,common/dna_data/test_dna_crownlands.txt | common/dna_data/test_dna_dornish.txt | common/dna_data/test_dna_essos.txt | common/dna_data/test_dna_iron_isles.txt | common/dna_data/test_dna_north.txt | common/dna_data/test_dna_reach.txt | common/dna_data/test_dna_riverlands.txt | common/dna_data/test_dna_stormlands.txt | common/dna_data/test_dna_vale.txt | common/dna_data/test_dna_valyrian.txt | common/dna_data/test_dna_westerlands.txt
dna_unknown_gene,gene_eye_shut_top,53,1467,common/dna_data/test_dna_crownlands.txt | common/dna_data/test_dna_dornish.txt | common/dna_data/test_dna_essos.txt | common/dna_data/test_dna_iron_isles.txt | common/dna_data/test_dna_north.txt | common/dna_data/test_dna_reach.txt | common/dna_data/test_dna_riverlands.txt | common/dna_data/test_dna_stormlands.txt | common/dna_data/test_dna_vale.txt | common/dna_data/test_dna_valyrian.txt | common/dna_data/test_dna_westerlands.txt
