Symbol,Mod,File,Line,SourceText
building_backup_atlas_normal.dds,COW-AGOT: 3D Models & Bigger Castles,gfx/models/buildings/special/seagaurd/building_seagard_01.asset,134,"		texture_normal = ""building_backup_atlas_normal.dds"""
building_backup_atlas_properties.dds,COW-AGOT: 3D Models & Bigger Castles,gfx/models/buildings/special/seagaurd/building_seagard_01.asset,135,"		texture_specular = ""building_backup_atlas_properties.dds"""
building_backup_atlas_normal.dds,COW-AGOT: 3D Models & Bigger Castles,gfx/models/buildings/special/seagaurd/building_seagard_01.asset,145,"		texture_normal = ""building_backup_atlas_normal.dds"""
building_backup_atlas_properties.dds,COW-AGOT: 3D Models & Bigger Castles,gfx/models/buildings/special/seagaurd/building_seagard_01.asset,146,"		texture_specular = ""building_backup_atlas_properties.dds"""
color,AGOT More Dragon Eggs | Исправления русификатора и совместимости,gui/custom_gui/mde_gui/mde_menu_menu.gui,2117,				color = { 0.84 0.65 0.34 0.45 }
kingsguard_armour,AGOT+ | Исправления совместимости,gfx/portraits/portrait_modifiers/asoiaf_clothes_situational.txt,90,					any_equipped_character_artifact = { has_variable = kingsguard_armour }
tgc_helmets,AGOT Submod Core,gfx/portraits/portrait_modifiers/00_custom_headgear.txt,157,		template = tgc_helmets
brightboar_swordsman_armour,AGOT Submod Core,gfx/portraits/portrait_modifiers/00_custom_clothes.txt,601,		template = brightboar_swordsman_armour
golden_company_armor_blackfyre,AGOT Submod Core,gfx/portraits/portrait_modifiers/00_custom_clothes.txt,710,		template = golden_company_armor_blackfyre
app_enabled,AGOT Submod Core,gfx/portraits/portrait_modifiers/00_custom_cloaks.txt,97,			exists = global_var:app_enabled
