LogLine,Category,Attribution,Symbols,Evidence,SourceMods,Component,OriginalOwner,Files,Message,PriorLogLine,EvidenceBasis
1395,mesh_uv,Direct file,,gfx/models/court/rooms/asoiaf_storms_end/asoiaf_court_storms_end.mesh,,pdxassetutil.cpp:556,AGOT+,gfx/models/court/rooms/asoiaf_storms_end/asoiaf_court_storms_end.mesh,UV-Set: 2 in mesh 'asoiaf_storms_end_decorationsShape' in file 'gfx/models/court/rooms/asoiaf_storms_end/asoiaf_court_storms_end.mesh' has no valid triangle to use when calculating texture streaming factor. Texture streaming needs a triangle with an area.,1396,Previously reviewed source/symbol attribution; evidence line numbers precede revisions 11/12
1396,mesh_uv,Direct file,,gfx/models/court/rooms/asoiaf_storms_end/asoiaf_court_storms_end.mesh,,pdxassetutil.cpp:556,AGOT+,gfx/models/court/rooms/asoiaf_storms_end/asoiaf_court_storms_end.mesh,UV-Set: 2 in mesh 'asoiaf_storms_end_decorationsShape' in file 'gfx/models/court/rooms/asoiaf_storms_end/asoiaf_court_storms_end.mesh' has no valid triangle to use when calculating texture streaming factor. Texture streaming needs a triangle with an area.,1397,Previously reviewed source/symbol attribution; evidence line numbers precede revisions 11/12
1397,mesh_uv,Direct file,,gfx/models/court/rooms/asoiaf_storms_end/asoiaf_court_storms_end.mesh,,pdxassetutil.cpp:556,AGOT+,gfx/models/court/rooms/asoiaf_storms_end/asoiaf_court_storms_end.mesh,UV-Set: 2 in mesh 'asoiaf_storms_end_decorationsShape' in file 'gfx/models/court/rooms/asoiaf_storms_end/asoiaf_court_storms_end.mesh' has no valid triangle to use when calculating texture streaming factor. Texture streaming needs a triangle with an area.,1398,Previously reviewed source/symbol attribution; evidence line numbers precede revisions 11/12
1398,mesh_uv,Direct file,,gfx/models/court/rooms/asoiaf_storms_end/asoiaf_court_storms_end.mesh,,pdxassetutil.cpp:556,AGOT+,gfx/models/court/rooms/asoiaf_storms_end/asoiaf_court_storms_end.mesh,UV-Set: 2 in mesh 'asoiaf_storms_end_decorationsShape' in file 'gfx/models/court/rooms/asoiaf_storms_end/asoiaf_court_storms_end.mesh' has no valid triangle to use when calculating texture streaming factor. Texture streaming needs a triangle with an area.,1399,Previously reviewed source/symbol attribution; evidence line numbers precede revisions 11/12
1399,mesh_blendshape,Symbol only in AGOT+ effective text,female_clothes_asoiaf_lannister_armour_high_entity,AGOT+: gfx/portraits/accessories/asoiaf_clothes.txt:393 | AGOT+: gfx/models/portraits/f_clothes/asoiaf/asoiaf_westerlands/asoiaf_lannister_armours/f_asoiaf_lannister_armour_high/f_asoiaf_lannister_armour_high.asset:35,AGOT+,pdx_entity.cpp:585,,,"Could not find blend shape ""female_clothes_f_asoiaf_lannister_armour_high_bs_breast_size_max"" for attribute ""bs_body_breast_size_max"" in entity ""female_clothes_asoiaf_lannister_armour_high_entity""",1400,Previously reviewed source/symbol attribution; evidence line numbers precede revisions 11/12
1400,mesh_blendshape,Symbol only in AGOT+ effective text,female_clothes_asoiaf_lannister_armour_high_entity,AGOT+: gfx/portraits/accessories/asoiaf_clothes.txt:393 | AGOT+: gfx/models/portraits/f_clothes/asoiaf/asoiaf_westerlands/asoiaf_lannister_armours/f_asoiaf_lannister_armour_high/f_asoiaf_lannister_armour_high.asset:35,AGOT+,pdx_entity.cpp:585,,,"Could not find blend shape ""female_clothes_f_asoiaf_lannister_armour_high_bs_breast_size_min"" for attribute ""bs_body_breast_size_min"" in entity ""female_clothes_asoiaf_lannister_armour_high_entity""",1401,Previously reviewed source/symbol attribution; evidence line numbers precede revisions 11/12
1401,mesh_blendshape,Symbol only in AGOT+ effective text,female_clothes_asoiaf_lannister_armour_high_entity,AGOT+: gfx/portraits/accessories/asoiaf_clothes.txt:393 | AGOT+: gfx/models/portraits/f_clothes/asoiaf/asoiaf_westerlands/asoiaf_lannister_armours/f_asoiaf_lannister_armour_high/f_asoiaf_lannister_armour_high.asset:35,AGOT+,pdx_entity.cpp:585,,,"Could not find blend shape ""female_clothes_f_asoiaf_lannister_armour_high_bs_pregnant"" for attribute ""bs_body_pregnant_1"" in entity ""female_clothes_asoiaf_lannister_armour_high_entity""",1402,Previously reviewed source/symbol attribution; evidence line numbers precede revisions 11/12
1402,mesh_blendshape,Symbol only in AGOT+ effective text,female_clothes_asoiaf_lannister_armour_high_entity,AGOT+: gfx/portraits/accessories/asoiaf_clothes.txt:393 | AGOT+: gfx/models/portraits/f_clothes/asoiaf/asoiaf_westerlands/asoiaf_lannister_armours/f_asoiaf_lannister_armour_high/f_asoiaf_lannister_armour_high.asset:35,AGOT+,pdx_entity.cpp:585,,,"Could not find blend shape ""female_clothes_f_asoiaf_lannister_armour_high_bs_fat"" for attribute ""bs_body_fat_1"" in entity ""female_clothes_asoiaf_lannister_armour_high_entity""",1403,Previously reviewed source/symbol attribution; evidence line numbers precede revisions 11/12
1403,mesh_blendshape,Symbol only in AGOT+ effective text,female_clothes_asoiaf_lannister_armour_high_entity,AGOT+: gfx/portraits/accessories/asoiaf_clothes.txt:393 | AGOT+: gfx/models/portraits/f_clothes/asoiaf/asoiaf_westerlands/asoiaf_lannister_armours/f_asoiaf_lannister_armour_high/f_asoiaf_lannister_armour_high.asset:35,AGOT+,pdx_entity.cpp:585,,,"Could not find blend shape ""female_clothes_f_asoiaf_lannister_armour_high_bs_gaunt"" for attribute ""bs_body_gaunt_1"" in entity ""female_clothes_asoiaf_lannister_armour_high_entity""",1404,Previously reviewed source/symbol attribution; evidence line numbers precede revisions 11/12
1404,mesh_blendshape,Symbol only in AGOT+ effective text,female_clothes_asoiaf_lannister_armour_high_entity,AGOT+: gfx/portraits/accessories/asoiaf_clothes.txt:393 | AGOT+: gfx/models/portraits/f_clothes/asoiaf/asoiaf_westerlands/asoiaf_lannister_armours/f_asoiaf_lannister_armour_high/f_asoiaf_lannister_armour_high.asset:35,AGOT+,pdx_entity.cpp:585,,,"Could not find blend shape ""female_clothes_f_asoiaf_lannister_armour_high_bs_muscular"" for attribute ""bs_body_muscular_1"" in entity ""female_clothes_asoiaf_lannister_armour_high_entity""",1405,Previously reviewed source/symbol attribution; evidence line numbers precede revisions 11/12
1405,mesh_blendshape,Symbol only in AGOT+ effective text,female_clothes_asoiaf_lannister_armour_high_entity,AGOT+: gfx/portraits/accessories/asoiaf_clothes.txt:393 | AGOT+: gfx/models/portraits/f_clothes/asoiaf/asoiaf_westerlands/asoiaf_lannister_armours/f_asoiaf_lannister_armour_high/f_asoiaf_lannister_armour_high.asset:35,AGOT+,pdx_entity.cpp:585,,,"Could not find blend shape ""female_clothes_f_asoiaf_lannister_armour_high_bs_old"" for attribute ""bs_body_old_1"" in entity ""female_clothes_asoiaf_lannister_armour_high_entity""",1406,Previously reviewed source/symbol attribution; evidence line numbers precede revisions 11/12
1406,mesh_blendshape,Symbol only in AGOT+ effective text,female_clothes_asoiaf_lannister_armour_high_entity,AGOT+: gfx/portraits/accessories/asoiaf_clothes.txt:393 | AGOT+: gfx/models/portraits/f_clothes/asoiaf/asoiaf_westerlands/asoiaf_lannister_armours/f_asoiaf_lannister_armour_high/f_asoiaf_lannister_armour_high.asset:35,AGOT+,pdx_entity.cpp:585,,,"Could not find blend shape ""female_clothes_f_asoiaf_lannister_armour_high_bs_dwarf"" for attribute ""bs_body_dwarf_1"" in entity ""female_clothes_asoiaf_lannister_armour_high_entity""",1407,Previously reviewed source/symbol attribution; evidence line numbers precede revisions 11/12
1407,mesh_blendshape,Symbol only in AGOT+ effective text,female_clothes_asoiaf_lannister_armour_high_entity,AGOT+: gfx/portraits/accessories/asoiaf_clothes.txt:393 | AGOT+: gfx/models/portraits/f_clothes/asoiaf/asoiaf_westerlands/asoiaf_lannister_armours/f_asoiaf_lannister_armour_high/f_asoiaf_lannister_armour_high.asset:35,AGOT+,pdx_entity.cpp:585,,,"Could not find blend shape ""female_clothes_f_asoiaf_lannister_armour_high_bs_infant"" for attribute ""bs_body_infant_1"" in entity ""female_clothes_asoiaf_lannister_armour_high_entity""",1408,Previously reviewed source/symbol attribution; evidence line numbers precede revisions 11/12
