Stage,Category,PriorLogLine,Component,Message,AfterCount
11,portrait_templates,1472,dnamodifier.cpp:330,could not find template [none]. file: gfx/portraits/portrait_modifiers/asoiaf_character_custom_flags.txt line: 1981 (asoiaf_custom_character_colourations),0
11,portrait_templates,1473,dnamodifier.cpp:330,could not find template [none]. file: gfx/portraits/portrait_modifiers/asoiaf_character_custom_flags.txt line: 1987 (asoiaf_custom_character_colourations),0
11,portrait_templates,1474,dnamodifier.cpp:330,could not find template [none]. file: gfx/portraits/portrait_modifiers/asoiaf_character_custom_flags.txt line: 1993 (asoiaf_custom_character_colourations),0
11,portrait_templates,1475,dnamodifier.cpp:330,could not find template [none]. file: gfx/portraits/portrait_modifiers/asoiaf_character_custom_flags.txt line: 2449 (asoiaf_custom_character_colourations),0
11,portrait_templates,1476,dnamodifier.cpp:330,could not find template [none]. file: gfx/portraits/portrait_modifiers/asoiaf_character_custom_flags.txt line: 2455 (asoiaf_custom_character_colourations),0
11,portrait_templates,1477,dnamodifier.cpp:330,could not find template [none]. file: gfx/portraits/portrait_modifiers/asoiaf_character_custom_flags.txt line: 2461 (asoiaf_custom_character_colourations),0
11,portrait_templates,1478,dnamodifier.cpp:330,could not find template [none]. file: gfx/portraits/portrait_modifiers/asoiaf_character_custom_flags.txt line: 2965 (asoiaf_custom_character_colourations),0
11,portrait_templates,1479,dnamodifier.cpp:330,could not find template [none]. file: gfx/portraits/portrait_modifiers/asoiaf_character_custom_flags.txt line: 2971 (asoiaf_custom_character_colourations),0
11,portrait_templates,1480,dnamodifier.cpp:330,could not find template [none]. file: gfx/portraits/portrait_modifiers/asoiaf_character_custom_flags.txt line: 2977 (asoiaf_custom_character_colourations),0
11,portrait_templates,1481,dnamodifier.cpp:330,could not find template [none]. file: gfx/portraits/portrait_modifiers/asoiaf_character_custom_flags.txt line: 2983 (asoiaf_custom_character_colourations),0
11,portrait_templates,1482,dnamodifier.cpp:330,could not find template [none]. file: gfx/portraits/portrait_modifiers/asoiaf_character_custom_flags.txt line: 2989 (asoiaf_custom_character_colourations),0
11,portrait_templates,1483,dnamodifier.cpp:330,could not find template [none]. file: gfx/portraits/portrait_modifiers/asoiaf_character_custom_flags.txt line: 3047 (asoiaf_custom_character_colourations),0
11,portrait_templates,1484,dnamodifier.cpp:330,could not find template [none]. file: gfx/portraits/portrait_modifiers/asoiaf_character_custom_flags.txt line: 3053 (asoiaf_custom_character_colourations),0
11,portrait_templates,1485,dnamodifier.cpp:330,could not find template [none]. file: gfx/portraits/portrait_modifiers/asoiaf_character_custom_flags.txt line: 3059 (asoiaf_custom_character_colourations),0
11,portrait_templates,1486,dnamodifier.cpp:330,could not find template [none]. file: gfx/portraits/portrait_modifiers/asoiaf_character_custom_flags.txt line: 3065 (asoiaf_custom_character_colourations),0
11,portrait_templates,1487,dnamodifier.cpp:330,could not find template [none]. file: gfx/portraits/portrait_modifiers/asoiaf_character_custom_flags.txt line: 3071 (asoiaf_custom_character_colourations),0
11,portrait_templates,1488,dnamodifier.cpp:330,could not find template [none]. file: gfx/portraits/portrait_modifiers/asoiaf_character_custom_flags.txt line: 3519 (asoiaf_custom_character_colourations),0
11,portrait_templates,1489,dnamodifier.cpp:330,could not find template [none]. file: gfx/portraits/portrait_modifiers/asoiaf_character_custom_flags.txt line: 3525 (asoiaf_custom_character_colourations),0
11,portrait_templates,1490,dnamodifier.cpp:330,could not find template [none]. file: gfx/portraits/portrait_modifiers/asoiaf_character_custom_flags.txt line: 3531 (asoiaf_custom_character_colourations),0
11,portrait_templates,1491,dnamodifier.cpp:330,could not find template [none]. file: gfx/portraits/portrait_modifiers/asoiaf_character_custom_flags.txt line: 3598 (asoiaf_custom_character_colourations),0
11,portrait_templates,1492,dnamodifier.cpp:330,could not find template [none]. file: gfx/portraits/portrait_modifiers/asoiaf_character_custom_flags.txt line: 3604 (asoiaf_custom_character_colourations),0
11,portrait_templates,1493,dnamodifier.cpp:330,could not find template [none]. file: gfx/portraits/portrait_modifiers/asoiaf_character_custom_flags.txt line: 3610 (asoiaf_custom_character_colourations),0
11,portrait_templates,1494,dnamodifier.cpp:330,could not find template [complexion_beauty_2]. file: gfx/portraits/portrait_modifiers/asoiaf_character_custom_flags.txt line: 3849 (asoiaf_custom_character_colourations),0
11,portrait_templates,1495,dnamodifier.cpp:330,could not find template [none]. file: gfx/portraits/portrait_modifiers/asoiaf_character_custom_flags.txt line: 3913 (asoiaf_custom_character_colourations),0
11,portrait_templates,1496,dnamodifier.cpp:330,could not find template [none]. file: gfx/portraits/portrait_modifiers/asoiaf_character_custom_flags.txt line: 3919 (asoiaf_custom_character_colourations),0
11,portrait_templates,1497,dnamodifier.cpp:330,could not find template [none]. file: gfx/portraits/portrait_modifiers/asoiaf_character_custom_flags.txt line: 3925 (asoiaf_custom_character_colourations),0
11,portrait_templates,1498,dnamodifier.cpp:330,could not find template [none]. file: gfx/portraits/portrait_modifiers/asoiaf_character_custom_flags.txt line: 3931 (asoiaf_custom_character_colourations),0
11,portrait_templates,1499,dnamodifier.cpp:330,could not find template [none]. file: gfx/portraits/portrait_modifiers/asoiaf_character_custom_flags.txt line: 3937 (asoiaf_custom_character_colourations),0
11,portrait_templates,1500,dnamodifier.cpp:330,could not find template [none]. file: gfx/portraits/portrait_modifiers/asoiaf_character_custom_flags.txt line: 4065 (asoiaf_custom_character_colourations),0
11,portrait_templates,1501,dnamodifier.cpp:330,could not find template [none]. file: gfx/portraits/portrait_modifiers/asoiaf_character_custom_flags.txt line: 4071 (asoiaf_custom_character_colourations),0
11,portrait_templates,1502,dnamodifier.cpp:330,could not find template [none]. file: gfx/portraits/portrait_modifiers/asoiaf_character_custom_flags.txt line: 4077 (asoiaf_custom_character_colourations),0
11,portrait_templates,1503,dnamodifier.cpp:330,could not find template [body_hair_average]. file: gfx/portraits/portrait_modifiers/asoiaf_character_custom_flags.txt line: 4179 (asoiaf_custom_character_colourations),0
11,portrait_templates,1504,dnamodifier.cpp:330,could not find template [none]. file: gfx/portraits/portrait_modifiers/asoiaf_character_custom_flags.txt line: 4427 (asoiaf_custom_character_colourations),0
11,portrait_templates,1505,dnamodifier.cpp:330,could not find template [none]. file: gfx/portraits/portrait_modifiers/asoiaf_character_custom_flags.txt line: 4433 (asoiaf_custom_character_colourations),0
11,portrait_templates,1506,dnamodifier.cpp:330,could not find template [none]. file: gfx/portraits/portrait_modifiers/asoiaf_character_custom_flags.txt line: 4439 (asoiaf_custom_character_colourations),0
11,portrait_templates,1507,dnamodifier.cpp:330,could not find template [none]. file: gfx/portraits/portrait_modifiers/asoiaf_character_custom_flags.txt line: 4671 (asoiaf_custom_character_colourations),0
11,portrait_templates,1508,dnamodifier.cpp:330,could not find template [none]. file: gfx/portraits/portrait_modifiers/asoiaf_character_custom_flags.txt line: 4677 (asoiaf_custom_character_colourations),0
11,portrait_templates,1509,dnamodifier.cpp:330,could not find template [none]. file: gfx/portraits/portrait_modifiers/asoiaf_character_custom_flags.txt line: 4683 (asoiaf_custom_character_colourations),0
11,portrait_templates,1510,dnamodifier.cpp:330,could not find template [none]. file: gfx/portraits/portrait_modifiers/asoiaf_character_custom_flags.txt line: 4689 (asoiaf_custom_character_colourations),0
11,portrait_templates,1511,dnamodifier.cpp:330,could not find template [none]. file: gfx/portraits/portrait_modifiers/asoiaf_character_custom_flags.txt line: 4695 (asoiaf_custom_character_colourations),0
11,portrait_templates,1512,dnamodifier.cpp:330,could not find template [none]. file: gfx/portraits/portrait_modifiers/asoiaf_character_custom_flags.txt line: 4765 (asoiaf_custom_character_colourations),0
11,portrait_templates,1513,dnamodifier.cpp:330,could not find template [none]. file: gfx/portraits/portrait_modifiers/asoiaf_character_custom_flags.txt line: 4777 (asoiaf_custom_character_colourations),0
11,portrait_templates,1514,dnamodifier.cpp:330,could not find template [none]. file: gfx/portraits/portrait_modifiers/asoiaf_character_custom_flags.txt line: 4783 (asoiaf_custom_character_colourations),0
11,portrait_templates,1515,dnamodifier.cpp:330,could not find template [none]. file: gfx/portraits/portrait_modifiers/asoiaf_character_custom_flags.txt line: 4859 (asoiaf_custom_character_colourations),0
11,portrait_templates,1516,dnamodifier.cpp:330,could not find template [none]. file: gfx/portraits/portrait_modifiers/asoiaf_character_custom_flags.txt line: 4865 (asoiaf_custom_character_colourations),0
11,portrait_templates,1517,dnamodifier.cpp:330,could not find template [none]. file: gfx/portraits/portrait_modifiers/asoiaf_character_custom_flags.txt line: 4871 (asoiaf_custom_character_colourations),0
11,portrait_templates,1518,dnamodifier.cpp:330,could not find template [none]. file: gfx/portraits/portrait_modifiers/asoiaf_character_custom_flags.txt line: 5036 (asoiaf_custom_character_colourations),0
11,portrait_templates,1519,dnamodifier.cpp:330,could not find template [none]. file: gfx/portraits/portrait_modifiers/asoiaf_character_custom_flags.txt line: 5042 (asoiaf_custom_character_colourations),0
11,portrait_templates,1520,dnamodifier.cpp:330,could not find template [none]. file: gfx/portraits/portrait_modifiers/asoiaf_character_custom_flags.txt line: 5048 (asoiaf_custom_character_colourations),0
11,portrait_templates,1521,dnamodifier.cpp:330,could not find template [none]. file: gfx/portraits/portrait_modifiers/asoiaf_character_custom_flags.txt line: 5054 (asoiaf_custom_character_colourations),0
11,portrait_templates,1522,dnamodifier.cpp:330,could not find template [none]. file: gfx/portraits/portrait_modifiers/asoiaf_character_custom_flags.txt line: 5060 (asoiaf_custom_character_colourations),0
11,portrait_templates,1523,dnamodifier.cpp:330,could not find template [none]. file: gfx/portraits/portrait_modifiers/asoiaf_character_custom_flags.txt line: 5234 (asoiaf_custom_character_colourations),0
11,portrait_templates,1524,dnamodifier.cpp:330,could not find template [none]. file: gfx/portraits/portrait_modifiers/asoiaf_character_custom_flags.txt line: 5240 (asoiaf_custom_character_colourations),0
11,portrait_templates,1525,dnamodifier.cpp:330,could not find template [none]. file: gfx/portraits/portrait_modifiers/asoiaf_character_custom_flags.txt line: 5246 (asoiaf_custom_character_colourations),0
11,portrait_templates,1526,dnamodifier.cpp:330,could not find template [none]. file: gfx/portraits/portrait_modifiers/asoiaf_character_custom_flags.txt line: 5252 (asoiaf_custom_character_colourations),0
11,portrait_templates,1527,dnamodifier.cpp:330,could not find template [none]. file: gfx/portraits/portrait_modifiers/asoiaf_character_custom_flags.txt line: 5258 (asoiaf_custom_character_colourations),0
11,portrait_templates,1528,dnamodifier.cpp:330,could not find template [none]. file: gfx/portraits/portrait_modifiers/asoiaf_character_custom_flags.txt line: 5362 (asoiaf_custom_character_colourations),0
11,portrait_templates,1529,dnamodifier.cpp:330,could not find template [none]. file: gfx/portraits/portrait_modifiers/asoiaf_character_custom_flags.txt line: 5368 (asoiaf_custom_character_colourations),0
11,portrait_templates,1530,dnamodifier.cpp:330,could not find template [none]. file: gfx/portraits/portrait_modifiers/asoiaf_character_custom_flags.txt line: 5374 (asoiaf_custom_character_colourations),0
11,portrait_templates,1531,dnamodifier.cpp:330,could not find template [none]. file: gfx/portraits/portrait_modifiers/asoiaf_character_custom_flags.txt line: 5380 (asoiaf_custom_character_colourations),0
11,portrait_templates,1532,dnamodifier.cpp:330,could not find template [none]. file: gfx/portraits/portrait_modifiers/asoiaf_character_custom_flags.txt line: 5386 (asoiaf_custom_character_colourations),0
11,portrait_templates,1533,dnamodifier.cpp:330,could not find template [none]. file: gfx/portraits/portrait_modifiers/asoiaf_character_custom_flags.txt line: 6158 (asoiaf_custom_character_colourations),0
11,portrait_templates,1534,dnamodifier.cpp:330,could not find template [none]. file: gfx/portraits/portrait_modifiers/asoiaf_character_custom_flags.txt line: 6164 (asoiaf_custom_character_colourations),0
11,portrait_templates,1535,dnamodifier.cpp:330,could not find template [none]. file: gfx/portraits/portrait_modifiers/asoiaf_character_custom_flags.txt line: 6176 (asoiaf_custom_character_colourations),0
11,portrait_templates,1536,dnamodifier.cpp:330,could not find template [none]. file: gfx/portraits/portrait_modifiers/asoiaf_character_custom_flags.txt line: 6182 (asoiaf_custom_character_colourations),0
11,portrait_templates,1537,dnamodifier.cpp:330,could not find template [none]. file: gfx/portraits/portrait_modifiers/asoiaf_character_custom_flags.txt line: 6252 (asoiaf_custom_character_colourations),0
11,portrait_templates,1538,dnamodifier.cpp:330,could not find template [none]. file: gfx/portraits/portrait_modifiers/asoiaf_character_custom_flags.txt line: 6258 (asoiaf_custom_character_colourations),0
11,portrait_templates,1539,dnamodifier.cpp:330,could not find template [none]. file: gfx/portraits/portrait_modifiers/asoiaf_character_custom_flags.txt line: 6264 (asoiaf_custom_character_colourations),0
11,portrait_templates,1540,dnamodifier.cpp:330,could not find template [none]. file: gfx/portraits/portrait_modifiers/asoiaf_character_custom_flags.txt line: 6270 (asoiaf_custom_character_colourations),0
11,portrait_templates,1541,dnamodifier.cpp:330,could not find template [none]. file: gfx/portraits/portrait_modifiers/asoiaf_character_custom_flags.txt line: 6334 (asoiaf_custom_character_colourations),0
11,portrait_templates,1542,dnamodifier.cpp:330,could not find template [none]. file: gfx/portraits/portrait_modifiers/asoiaf_character_custom_flags.txt line: 6340 (asoiaf_custom_character_colourations),0
11,portrait_templates,1543,dnamodifier.cpp:330,could not find template [none]. file: gfx/portraits/portrait_modifiers/asoiaf_character_custom_flags.txt line: 6346 (asoiaf_custom_character_colourations),0
