"LogLine","Key","Category","FirstFile","SecondFile","RepositoryDefinitions","DistinctValues","Mods"
"59","artifact_dragon_horn_name","Identical localization definitions","localization/russian/targ_artifacts_l_russian.yml","localization/russian/artifacts/targ_artifacts_l_russian.yml","0","1","Valyrian Steel | Valyrian Steel - Русификация"
"60","dragon_horn_desc","Expected external translation override","localization/russian/targ_artifacts_l_russian.yml","localization/russian/artifacts/targ_artifacts_l_russian.yml","0","2","Valyrian Steel | Valyrian Steel - Русификация"
"61","dragon_horn_end_desc","Expected external translation override","localization/russian/targ_artifacts_l_russian.yml","localization/russian/artifacts/targ_artifacts_l_russian.yml","0","2","Valyrian Steel | Valyrian Steel - Русификация"
"62","dragon_horn_silver_desc","Expected external translation override","localization/russian/targ_artifacts_l_russian.yml","localization/russian/artifacts/targ_artifacts_l_russian.yml","0","2","Valyrian Steel | Valyrian Steel - Русификация"
"63","dragon_horn_black_desc","Expected external translation override","localization/russian/targ_artifacts_l_russian.yml","localization/russian/artifacts/targ_artifacts_l_russian.yml","0","2","Valyrian Steel | Valyrian Steel - Русификация"
"64","dragon_horn_red_desc","Expected external translation override","localization/russian/targ_artifacts_l_russian.yml","localization/russian/artifacts/targ_artifacts_l_russian.yml","0","2","Valyrian Steel | Valyrian Steel - Русификация"
"65","dragon_horn_brown_desc","Expected external translation override","localization/russian/targ_artifacts_l_russian.yml","localization/russian/artifacts/targ_artifacts_l_russian.yml","0","2","Valyrian Steel | Valyrian Steel - Русификация"
"66","dragon_horn_blackGold_desc","Expected external translation override","localization/russian/targ_artifacts_l_russian.yml","localization/russian/artifacts/targ_artifacts_l_russian.yml","0","2","Valyrian Steel | Valyrian Steel - Русификация"
"67","dragon_horn_tan_desc","Expected external translation override","localization/russian/targ_artifacts_l_russian.yml","localization/russian/artifacts/targ_artifacts_l_russian.yml","0","2","Valyrian Steel | Valyrian Steel - Русификация"
"68","artifact_dragon_whip","Expected external translation override","localization/russian/targ_artifacts_l_russian.yml","localization/russian/artifacts/targ_artifacts_l_russian.yml","0","2","Valyrian Steel | Valyrian Steel - Русификация"
"69","artifact_dragon_whip_desc","Expected external translation override","localization/russian/targ_artifacts_l_russian.yml","localization/russian/artifacts/targ_artifacts_l_russian.yml","0","2","Valyrian Steel | Valyrian Steel - Русификация"
"70","artifact_valyrian_book","Identical localization definitions","localization/russian/targ_artifacts_l_russian.yml","localization/russian/artifacts/targ_artifacts_l_russian.yml","0","1","Valyrian Steel | Valyrian Steel - Русификация"
"71","valyrian_book_desc","Expected external translation override","localization/russian/targ_artifacts_l_russian.yml","localization/russian/artifacts/targ_artifacts_l_russian.yml","0","2","Valyrian Steel | Valyrian Steel - Русификация"
"72","artifact_vs_goblet_name","Identical localization definitions","localization/russian/targ_artifacts_l_russian.yml","localization/russian/artifacts/targ_artifacts_l_russian.yml","0","1","Valyrian Steel | Valyrian Steel - Русификация"
"73","artifact_vs_goblet","Identical localization definitions","localization/russian/targ_artifacts_l_russian.yml","localization/russian/artifacts/targ_artifacts_l_russian.yml","0","1","Valyrian Steel | Valyrian Steel - Русификация"
"74","artifact_vs_goblet_description","Expected external translation override","localization/russian/targ_artifacts_l_russian.yml","localization/russian/artifacts/targ_artifacts_l_russian.yml","0","2","Valyrian Steel | Valyrian Steel - Русификация"
"75","DIAnd1","Expected external translation override","localization/russian/custom_localization/DI_RUS_custom_loc_l_russian.yml","localization/russian/custom_localization/DI_custom_loc_l_russian.yml","0","2","Divine Intervention Cheat Menu | Divine Intervention CM [RUS]"
"76","DIAnd2","Identical localization definitions","localization/russian/custom_localization/DI_RUS_custom_loc_l_russian.yml","localization/russian/custom_localization/DI_custom_loc_l_russian.yml","0","1","Divine Intervention Cheat Menu | Divine Intervention CM [RUS]"
"77","DIOf1","Expected external translation override","localization/russian/custom_localization/DI_RUS_custom_loc_l_russian.yml","localization/russian/custom_localization/DI_custom_loc_l_russian.yml","0","2","Divine Intervention Cheat Menu | Divine Intervention CM [RUS]"
"78","DIOf2","Identical localization definitions","localization/russian/custom_localization/DI_RUS_custom_loc_l_russian.yml","localization/russian/custom_localization/DI_custom_loc_l_russian.yml","0","1","Divine Intervention Cheat Menu | Divine Intervention CM [RUS]"
"79","DI_primary_character_0","Expected external translation override","localization/russian/custom_localization/DI_RUS_custom_loc_l_russian.yml","localization/russian/custom_localization/DI_custom_loc_l_russian.yml","0","2","Divine Intervention Cheat Menu | Divine Intervention CM [RUS]"
"80","DI_primary_character_1","Identical localization definitions","localization/russian/custom_localization/DI_RUS_custom_loc_l_russian.yml","localization/russian/custom_localization/DI_custom_loc_l_russian.yml","0","1","Divine Intervention Cheat Menu | Divine Intervention CM [RUS]"
"81","DI_primary_character_2","Identical localization definitions","localization/russian/custom_localization/DI_RUS_custom_loc_l_russian.yml","localization/russian/custom_localization/DI_custom_loc_l_russian.yml","0","1","Divine Intervention Cheat Menu | Divine Intervention CM [RUS]"
"82","DI_secondary_character_0","Expected external translation override","localization/russian/custom_localization/DI_RUS_custom_loc_l_russian.yml","localization/russian/custom_localization/DI_custom_loc_l_russian.yml","0","2","Divine Intervention Cheat Menu | Divine Intervention CM [RUS]"
"83","DI_secondary_character_1","Identical localization definitions","localization/russian/custom_localization/DI_RUS_custom_loc_l_russian.yml","localization/russian/custom_localization/DI_custom_loc_l_russian.yml","0","1","Divine Intervention Cheat Menu | Divine Intervention CM [RUS]"
"84","DI_tertiary_character_0","Expected external translation override","localization/russian/custom_localization/DI_RUS_custom_loc_l_russian.yml","localization/russian/custom_localization/DI_custom_loc_l_russian.yml","0","2","Divine Intervention Cheat Menu | Divine Intervention CM [RUS]"
"85","DI_tertiary_character_1","Expected external translation override","localization/russian/custom_localization/DI_RUS_custom_loc_l_russian.yml","localization/russian/custom_localization/DI_custom_loc_l_russian.yml","0","2","Divine Intervention Cheat Menu | Divine Intervention CM [RUS]"
"86","DI_tertiary_character_2","Expected external translation override","localization/russian/custom_localization/DI_RUS_custom_loc_l_russian.yml","localization/russian/custom_localization/DI_custom_loc_l_russian.yml","0","2","Divine Intervention Cheat Menu | Divine Intervention CM [RUS]"
"87","DIAdopt","Expected external translation override","localization/russian/custom_localization/DI_RUS_custom_loc_l_russian.yml","localization/russian/custom_localization/DI_custom_loc_l_russian.yml","0","2","Divine Intervention Cheat Menu | Divine Intervention CM [RUS]"
"88","DIAdopts","Expected external translation override","localization/russian/custom_localization/DI_RUS_custom_loc_l_russian.yml","localization/russian/custom_localization/DI_custom_loc_l_russian.yml","0","2","Divine Intervention Cheat Menu | Divine Intervention CM [RUS]"
"89","DI_father_check_1","Expected external translation override","localization/russian/custom_localization/DI_RUS_custom_loc_l_russian.yml","localization/russian/custom_localization/DI_custom_loc_l_russian.yml","0","2","Divine Intervention Cheat Menu | Divine Intervention CM [RUS]"
"90","DI_father_check_2","Expected external translation override","localization/russian/custom_localization/DI_RUS_custom_loc_l_russian.yml","localization/russian/custom_localization/DI_custom_loc_l_russian.yml","0","2","Divine Intervention Cheat Menu | Divine Intervention CM [RUS]"
"91","DI_betrothed_check_1","Expected external translation override","localization/russian/custom_localization/DI_RUS_custom_loc_l_russian.yml","localization/russian/custom_localization/DI_custom_loc_l_russian.yml","0","2","Divine Intervention Cheat Menu | Divine Intervention CM [RUS]"
"92","DI_betrothed_check_2","Expected external translation override","localization/russian/custom_localization/DI_RUS_custom_loc_l_russian.yml","localization/russian/custom_localization/DI_custom_loc_l_russian.yml","0","2","Divine Intervention Cheat Menu | Divine Intervention CM [RUS]"
"93","DI_choose_primary_character","Expected external translation override","localization/russian/custom_localization/DI_RUS_custom_loc_l_russian.yml","localization/russian/custom_localization/DI_custom_loc_l_russian.yml","0","2","Divine Intervention Cheat Menu | Divine Intervention CM [RUS]"
"94","DI_choose_secondary_character","Expected external translation override","localization/russian/custom_localization/DI_RUS_custom_loc_l_russian.yml","localization/russian/custom_localization/DI_custom_loc_l_russian.yml","0","2","Divine Intervention Cheat Menu | Divine Intervention CM [RUS]"
"95","DI_choose_tertiary_character","Expected external translation override","localization/russian/custom_localization/DI_RUS_custom_loc_l_russian.yml","localization/russian/custom_localization/DI_custom_loc_l_russian.yml","0","2","Divine Intervention Cheat Menu | Divine Intervention CM [RUS]"
"96","DI_choose_primary_and_secondary_characters","Identical localization definitions","localization/russian/custom_localization/DI_RUS_custom_loc_l_russian.yml","localization/russian/custom_localization/DI_custom_loc_l_russian.yml","0","1","Divine Intervention Cheat Menu | Divine Intervention CM [RUS]"
"97","DI_choose_primary_and_tertiary_characters","Identical localization definitions","localization/russian/custom_localization/DI_RUS_custom_loc_l_russian.yml","localization/russian/custom_localization/DI_custom_loc_l_russian.yml","0","1","Divine Intervention Cheat Menu | Divine Intervention CM [RUS]"
"98","DI_adoption_triggered_desc_1","Expected external translation override","localization/russian/custom_localization/DI_RUS_custom_loc_l_russian.yml","localization/russian/custom_localization/DI_custom_loc_l_russian.yml","0","2","Divine Intervention Cheat Menu | Divine Intervention CM [RUS]"
"99","DI_adoption_triggered_desc_2","Expected external translation override","localization/russian/custom_localization/DI_RUS_custom_loc_l_russian.yml","localization/russian/custom_localization/DI_custom_loc_l_russian.yml","0","2","Divine Intervention Cheat Menu | Divine Intervention CM [RUS]"
"100","DI_adoption_triggered_desc_3","Expected external translation override","localization/russian/custom_localization/DI_RUS_custom_loc_l_russian.yml","localization/russian/custom_localization/DI_custom_loc_l_russian.yml","0","2","Divine Intervention Cheat Menu | Divine Intervention CM [RUS]"
"101","DI_adoption_triggered_desc_4","Expected external translation override","localization/russian/custom_localization/DI_RUS_custom_loc_l_russian.yml","localization/russian/custom_localization/DI_custom_loc_l_russian.yml","0","2","Divine Intervention Cheat Menu | Divine Intervention CM [RUS]"
"102","DI_adoption_triggered_desc_5","Expected external translation override","localization/russian/custom_localization/DI_RUS_custom_loc_l_russian.yml","localization/russian/custom_localization/DI_custom_loc_l_russian.yml","0","2","Divine Intervention Cheat Menu | Divine Intervention CM [RUS]"
"103","DI_adoption_house_triggered_desc_1","Expected external translation override","localization/russian/custom_localization/DI_RUS_custom_loc_l_russian.yml","localization/russian/custom_localization/DI_custom_loc_l_russian.yml","0","2","Divine Intervention Cheat Menu | Divine Intervention CM [RUS]"
"104","DI_cadet_branch_triggered_desc_1","Expected external translation override","localization/russian/custom_localization/DI_RUS_custom_loc_l_russian.yml","localization/russian/custom_localization/DI_custom_loc_l_russian.yml","0","2","Divine Intervention Cheat Menu | Divine Intervention CM [RUS]"
"105","DI_cadet_branch_triggered_desc_2","Expected external translation override","localization/russian/custom_localization/DI_RUS_custom_loc_l_russian.yml","localization/russian/custom_localization/DI_custom_loc_l_russian.yml","0","2","Divine Intervention Cheat Menu | Divine Intervention CM [RUS]"
"106","DI_cadet_branch_triggered_desc_3","Identical localization definitions","localization/russian/custom_localization/DI_RUS_custom_loc_l_russian.yml","localization/russian/custom_localization/DI_custom_loc_l_russian.yml","0","1","Divine Intervention Cheat Menu | Divine Intervention CM [RUS]"
"107","DI_pregnancy_triggered_desc_1","Expected external translation override","localization/russian/custom_localization/DI_RUS_custom_loc_l_russian.yml","localization/russian/custom_localization/DI_custom_loc_l_russian.yml","0","2","Divine Intervention Cheat Menu | Divine Intervention CM [RUS]"
"108","DI_pregnancy_triggered_desc_2","Expected external translation override","localization/russian/custom_localization/DI_RUS_custom_loc_l_russian.yml","localization/russian/custom_localization/DI_custom_loc_l_russian.yml","0","2","Divine Intervention Cheat Menu | Divine Intervention CM [RUS]"
"109","DI_pregnancy_triggered_desc_3","Expected external translation override","localization/russian/custom_localization/DI_RUS_custom_loc_l_russian.yml","localization/russian/custom_localization/DI_custom_loc_l_russian.yml","0","2","Divine Intervention Cheat Menu | Divine Intervention CM [RUS]"
"110","DI_set_real_father_triggered_desc_1","Expected external translation override","localization/russian/custom_localization/DI_RUS_custom_loc_l_russian.yml","localization/russian/custom_localization/DI_custom_loc_l_russian.yml","0","2","Divine Intervention Cheat Menu | Divine Intervention CM [RUS]"
"111","DI_set_real_father_triggered_desc_2","Expected external translation override","localization/russian/custom_localization/DI_RUS_custom_loc_l_russian.yml","localization/russian/custom_localization/DI_custom_loc_l_russian.yml","0","2","Divine Intervention Cheat Menu | Divine Intervention CM [RUS]"
"112","DI_set_real_father_triggered_desc_3","Expected external translation override","localization/russian/custom_localization/DI_RUS_custom_loc_l_russian.yml","localization/russian/custom_localization/DI_custom_loc_l_russian.yml","0","2","Divine Intervention Cheat Menu | Divine Intervention CM [RUS]"
"113","DI_set_father_as_real_father_triggered_desc_1","Expected external translation override","localization/russian/custom_localization/DI_RUS_custom_loc_l_russian.yml","localization/russian/custom_localization/DI_custom_loc_l_russian.yml","0","2","Divine Intervention Cheat Menu | Divine Intervention CM [RUS]"
