BeforeCount,AfterCount,Difference,Component,Message,Signature
1,0,-1,portraitcontext.cpp:184,No gene with key: gene_bs_eye_fold_2 in group human at file: common/dna_data/test_dna_valyrian.txt line: 11849 (Targaryen_asoiaf_12),portraitcontext.cpp:184 No gene with key: gene_bs_eye_fold_2 in group human at file: common/dna_data/test_dna_valyrian.txt line: * (Targaryen_asoiaf_12)
1,0,-1,portraitcontext.cpp:184,No gene with key: gene_bs_eye_fold_2 in group human at file: common/dna_data/test_dna_valyrian.txt line: 8992 (Targaryen_asoiaf_122),portraitcontext.cpp:184 No gene with key: gene_bs_eye_fold_2 in group human at file: common/dna_data/test_dna_valyrian.txt line: * (Targaryen_asoiaf_122)
1,0,-1,portraitcontext.cpp:184,No gene with key: gene_bs_eye_fold_2 in group human at file: common/dna_data/test_dna_valyrian.txt line: 9197 (Targaryen_asoiaf_126),portraitcontext.cpp:184 No gene with key: gene_bs_eye_fold_2 in group human at file: common/dna_data/test_dna_valyrian.txt line: * (Targaryen_asoiaf_126)
1,0,-1,portraitcontext.cpp:184,No gene with key: gene_bs_eye_fold_2 in group human at file: common/dna_data/test_dna_valyrian.txt line: 2757 (Targaryen_asoiaf_59),portraitcontext.cpp:184 No gene with key: gene_bs_eye_fold_2 in group human at file: common/dna_data/test_dna_valyrian.txt line: * (Targaryen_asoiaf_59)
1,0,-1,portraitcontext.cpp:184,No gene with key: gene_bs_eye_fold_2 in group human at file: common/dna_data/test_dna_valyrian.txt line: 3370 (Targaryen_asoiaf_63),portraitcontext.cpp:184 No gene with key: gene_bs_eye_fold_2 in group human at file: common/dna_data/test_dna_valyrian.txt line: * (Targaryen_asoiaf_63)
1,0,-1,portraitcontext.cpp:184,No gene with key: gene_bs_eye_fold_2 in group human at file: common/dna_data/test_dna_valyrian.txt line: 3985 (Targaryen_asoiaf_67),portraitcontext.cpp:184 No gene with key: gene_bs_eye_fold_2 in group human at file: common/dna_data/test_dna_valyrian.txt line: * (Targaryen_asoiaf_67)
1,0,-1,portraitcontext.cpp:184,No gene with key: gene_bs_eye_fold_2 in group human at file: common/dna_data/test_dna_valyrian.txt line: 4786 (Targaryen_asoiaf_70),portraitcontext.cpp:184 No gene with key: gene_bs_eye_fold_2 in group human at file: common/dna_data/test_dna_valyrian.txt line: * (Targaryen_asoiaf_70)
1,0,-1,portraitcontext.cpp:184,No gene with key: gene_bs_eye_fold_2 in group human at file: common/dna_data/test_dna_valyrian.txt line: 6006 (Targaryen_asoiaf_79),portraitcontext.cpp:184 No gene with key: gene_bs_eye_fold_2 in group human at file: common/dna_data/test_dna_valyrian.txt line: * (Targaryen_asoiaf_79)
1,0,-1,portraitcontext.cpp:184,No gene with key: gene_bs_eye_fold_2 in group human at file: common/dna_data/test_dna_valyrian.txt line: 9402 (Targaryen_asoiaf_hh_10),portraitcontext.cpp:184 No gene with key: gene_bs_eye_fold_2 in group human at file: common/dna_data/test_dna_valyrian.txt line: * (Targaryen_asoiaf_hh_10)
1,0,-1,portraitcontext.cpp:184,No gene with key: gene_bs_eye_fold_2 in group human at file: common/dna_data/test_dna_valyrian.txt line: 14687 (Velaryon_asoiaf_2),portraitcontext.cpp:184 No gene with key: gene_bs_eye_fold_2 in group human at file: common/dna_data/test_dna_valyrian.txt line: * (Velaryon_asoiaf_2)
1,0,-1,portraitcontext.cpp:184,No gene with key: gene_bs_eye_fold_2 in group human at file: common/dna_data/test_dna_valyrian.txt line: 12056 (Velaryon_asoiaf_31),portraitcontext.cpp:184 No gene with key: gene_bs_eye_fold_2 in group human at file: common/dna_data/test_dna_valyrian.txt line: * (Velaryon_asoiaf_31)
