"Count","Category","Owner","Files","FirstLogLine"
"1","Graphics / portrait source error","CK3 | COW-AGOT: 3D Models & Bigger Castles","gfx/models/buildings/special/ep3_patras_castle_01_a/ep3_patras_castle_ground_properties.dds | gfx/models/buildings/special/high_hermitage/ep3_patras_castle_ground_properties.dds","1336"
"1","Graphics / portrait source error","A Game of Thrones | COW-AGOT: 3D Models & Bigger Castles","gfx/models/buildings/holdings/atlas/ethiopian/ethiopian_atlas_diffuse.dds | gfx/models/buildings/special/Karhold/ethiopian_atlas_diffuse.dds","1337"
"1","Graphics / portrait source error","A Game of Thrones | COW-AGOT: 3D Models & Bigger Castles","gfx/models/buildings/holdings/atlas/ethiopian/ethiopian_atlas_diffuse.dds | gfx/models/buildings/special/Runestone/ethiopian_atlas_diffuse.dds","1338"
"1","Graphics / portrait source error","CK3 | COW-AGOT: 3D Models & Bigger Castles","gfx/models/buildings/special/ep3_patras_castle_01_a/ep3_patras_castle_ground_normal.dds | gfx/models/buildings/special/high_hermitage/ep3_patras_castle_ground_normal.dds","1335"
"1","Localization duplicate needs review","A Game of Thrones | Русификатор | AGOT More Dragon Eggs - Русификация","localization/russian/mde_artifacts_l_russian.yml | localization/russian/agot/gui/agot_travel_planner_window_l_russian.yml","177"
"1","Graphics / portrait source error","CK3 | COW-AGOT: 3D Models & Bigger Castles","gfx/models/buildings/special/ep3_patras_castle_01_a/ep3_patras_castle_01_a_unique.dds | gfx/models/buildings/special/high_hermitage/ep3_patras_castle_01_a_unique.dds","1333"
"1","Graphics / portrait source error","CK3 | COW-AGOT: 3D Models & Bigger Castles","gfx/models/buildings/special/ep3_patras_castle_01_a/ep3_patras_castle_ground_diffuse.dds | gfx/models/buildings/special/high_hermitage/ep3_patras_castle_ground_diffuse.dds","1334"
"1","Graphics / portrait source error","A Game of Thrones | AGOT+","gfx/models/portraits/m_cloaks/agot/shouldercape/male_cloaks_secular_shouldercape_01_diffuse.dds | gfx/models/portraits/m_cloaks/asoiaf/asoiaf_westerlands/asoiaf_lannister_cloaks/asoiaf_lannister_cloak_royal/male_cloaks_secular_shouldercape_01_diffuse.dds","1343"
"1","Graphics / portrait source error","A Game of Thrones | AGOT+","gfx/models/portraits/m_cloaks/agot/shouldercape/male_cloaks_secular_shouldercape_01_masks.dds | gfx/models/portraits/m_cloaks/asoiaf/asoiaf_westerlands/asoiaf_lannister_cloaks/asoiaf_lannister_cloak_royal/male_cloaks_secular_shouldercape_01_masks.dds","1344"
"1","Graphics / portrait source error","A Game of Thrones | AGOT+","gfx/models/portraits/m_cloaks/agot/shouldercape/male_cloaks_secular_shouldercape_01_normal.dds | gfx/models/portraits/m_cloaks/asoiaf/asoiaf_westerlands/asoiaf_lannister_cloaks/asoiaf_lannister_cloak_royal/male_cloaks_secular_shouldercape_01_normal.dds","1345"
"1","Graphics / portrait source error","A Game of Thrones | COW-AGOT: 3D Models & Bigger Castles","gfx/models/buildings/holdings/atlas/ethiopian/ethiopian_atlas_properties.dds | gfx/models/buildings/special/Runestone/ethiopian_atlas_properties.dds","1342"
"1","Graphics / portrait source error","A Game of Thrones | COW-AGOT: 3D Models & Bigger Castles","gfx/models/buildings/holdings/atlas/ethiopian/ethiopian_atlas_normal.dds | gfx/models/buildings/special/Karhold/ethiopian_atlas_normal.dds","1339"
"1","Graphics / portrait source error","A Game of Thrones | COW-AGOT: 3D Models & Bigger Castles","gfx/models/buildings/holdings/atlas/ethiopian/ethiopian_atlas_normal.dds | gfx/models/buildings/special/Runestone/ethiopian_atlas_normal.dds","1340"
