"Line","Time","Component","Message","Category","Owner","Files","Key","FirstFile","SecondFile"
"33","11:20:54","pdx_localize.cpp:279","Duplicate localization key. Key 'agot_dragon_maintenance.0802.t' is defined in both 'localization/russian/more_dragon_eggs_events_l_russian.yml' and 'localization/russian/agot/event_localization/agot_dragon_maintenance_l_russian.yml'.","Reviewed same-object mod override","A Game of Thrones | Русификатор | AGOT More Dragon Eggs - Русификация","localization/russian/more_dragon_eggs_events_l_russian.yml | localization/russian/agot/event_localization/agot_dragon_maintenance_l_russian.yml","agot_dragon_maintenance.0802.t","localization/russian/more_dragon_eggs_events_l_russian.yml","localization/russian/agot/event_localization/agot_dragon_maintenance_l_russian.yml"
"34","11:20:54","pdx_localize.cpp:279","Duplicate localization key. Key 'agot_dragon_maintenance.0802.desc' is defined in both 'localization/russian/more_dragon_eggs_events_l_russian.yml' and 'localization/russian/agot/event_localization/agot_dragon_maintenance_l_russian.yml'.","Reviewed same-object mod override","A Game of Thrones | Русификатор | AGOT More Dragon Eggs - Русификация","localization/russian/more_dragon_eggs_events_l_russian.yml | localization/russian/agot/event_localization/agot_dragon_maintenance_l_russian.yml","agot_dragon_maintenance.0802.desc","localization/russian/more_dragon_eggs_events_l_russian.yml","localization/russian/agot/event_localization/agot_dragon_maintenance_l_russian.yml"
"35","11:20:54","localization_reader.cpp:111","Illegal localization break character (`�`) at line 14 and column 271 in localization/russian/agot/event_localization/agot_silly_mode_events_l_russian.yml","Localization / dynamic text error","A Game of Thrones | Русификатор","localization/russian/agot/event_localization/agot_silly_mode_events_l_russian.yml","","",""
"36","11:20:54","pdx_localize.cpp:279","Duplicate localization key. Key 'agot_filler_crownlands.0004.t' is defined in both 'localization/russian/more_dragon_eggs_events_l_russian.yml' and 'localization/russian/agot/event_localization/filler_events/agot_filler_events_crownlands_l_russian.yml'.","Expected corrective localization override","A Game of Thrones | Русификатор | AGOT More Dragon Eggs - Русификация | AGOT More Dragon Eggs | Исправления русификатора и совместимости","localization/russian/more_dragon_eggs_events_l_russian.yml | localization/russian/agot/event_localization/filler_events/agot_filler_events_crownlands_l_russian.yml","agot_filler_crownlands.0004.t","localization/russian/more_dragon_eggs_events_l_russian.yml","localization/russian/agot/event_localization/filler_events/agot_filler_events_crownlands_l_russian.yml"
"37","11:20:54","pdx_localize.cpp:279","Duplicate localization key. Key 'agot_filler_crownlands.0004.desc' is defined in both 'localization/russian/more_dragon_eggs_events_l_russian.yml' and 'localization/russian/agot/event_localization/filler_events/agot_filler_events_crownlands_l_russian.yml'.","Expected corrective localization override","A Game of Thrones | Русификатор | AGOT More Dragon Eggs - Русификация | AGOT More Dragon Eggs | Исправления русификатора и совместимости","localization/russian/more_dragon_eggs_events_l_russian.yml | localization/russian/agot/event_localization/filler_events/agot_filler_events_crownlands_l_russian.yml","agot_filler_crownlands.0004.desc","localization/russian/more_dragon_eggs_events_l_russian.yml","localization/russian/agot/event_localization/filler_events/agot_filler_events_crownlands_l_russian.yml"
"38","11:20:54","pdx_localize.cpp:279","Duplicate localization key. Key 'agot_filler_crownlands.0004.a' is defined in both 'localization/russian/more_dragon_eggs_events_l_russian.yml' and 'localization/russian/agot/event_localization/filler_events/agot_filler_events_crownlands_l_russian.yml'.","Reviewed same-object mod override","A Game of Thrones | Русификатор | AGOT More Dragon Eggs - Русификация","localization/russian/more_dragon_eggs_events_l_russian.yml | localization/russian/agot/event_localization/filler_events/agot_filler_events_crownlands_l_russian.yml","agot_filler_crownlands.0004.a","localization/russian/more_dragon_eggs_events_l_russian.yml","localization/russian/agot/event_localization/filler_events/agot_filler_events_crownlands_l_russian.yml"
"39","11:20:54","pdx_localize.cpp:279","Duplicate localization key. Key 'agot_filler_crownlands.0004.tt' is defined in both 'localization/russian/more_dragon_eggs_events_l_russian.yml' and 'localization/russian/agot/event_localization/filler_events/agot_filler_events_crownlands_l_russian.yml'.","Expected corrective localization override","A Game of Thrones | Русификатор | AGOT More Dragon Eggs - Русификация | AGOT More Dragon Eggs | Исправления русификатора и совместимости","localization/russian/more_dragon_eggs_events_l_russian.yml | localization/russian/agot/event_localization/filler_events/agot_filler_events_crownlands_l_russian.yml","agot_filler_crownlands.0004.tt","localization/russian/more_dragon_eggs_events_l_russian.yml","localization/russian/agot/event_localization/filler_events/agot_filler_events_crownlands_l_russian.yml"
"40","11:20:54","localization_reader.cpp:111","Illegal localization break character (`�`) at line 207 and column 226 in localization/russian/agot/event_localization/travel_events/agot_travel_events_dragon_l_russian.yml","Localization / dynamic text error","A Game of Thrones | Русификатор","localization/russian/agot/event_localization/travel_events/agot_travel_events_dragon_l_russian.yml","","",""
"41","11:20:54","localization_reader.cpp:111","Illegal localization break character (`�`) at line 207 and column 727 in localization/russian/agot/event_localization/travel_events/agot_travel_events_dragon_l_russian.yml","Localization / dynamic text error","A Game of Thrones | Русификатор","localization/russian/agot/event_localization/travel_events/agot_travel_events_dragon_l_russian.yml","","",""
"42","11:20:54","pdx_localize.cpp:279","Duplicate localization key. Key 'PORTRAIT_MODIFIER_custom_headgear_crown_of_the_grey_king_rusted' is defined in both 'localization/russian/agot_westeroscrowns_portrait_modifiers_l_russian.yml' and 'localization/russian/agot/portraits/agot_portrait_modifiers_l_russian.yml'.","Reviewed same-object mod override","A Game of Thrones | Русификатор | AGOT - Crowns of Westeros - Русификация","localization/russian/agot_westeroscrowns_portrait_modifiers_l_russian.yml | localization/russian/agot/portraits/agot_portrait_modifiers_l_russian.yml","PORTRAIT_MODIFIER_custom_headgear_crown_of_the_grey_king_rusted","localization/russian/agot_westeroscrowns_portrait_modifiers_l_russian.yml","localization/russian/agot/portraits/agot_portrait_modifiers_l_russian.yml"
"43","11:20:54","pdx_localize.cpp:279","Duplicate localization key. Key 'PORTRAIT_MODIFIER_custom_headgear_female_crown_of_the_grey_king_rusted' is defined in both 'localization/russian/agot_westeroscrowns_portrait_modifiers_l_russian.yml' and 'localization/russian/agot/portraits/agot_portrait_modifiers_l_russian.yml'.","Reviewed same-object mod override","A Game of Thrones | Русификатор | AGOT - Crowns of Westeros - Русификация","localization/russian/agot_westeroscrowns_portrait_modifiers_l_russian.yml | localization/russian/agot/portraits/agot_portrait_modifiers_l_russian.yml","PORTRAIT_MODIFIER_custom_headgear_female_crown_of_the_grey_king_rusted","localization/russian/agot_westeroscrowns_portrait_modifiers_l_russian.yml","localization/russian/agot/portraits/agot_portrait_modifiers_l_russian.yml"
"44","11:20:54","pdx_localize.cpp:279","Duplicate localization key. Key 'PORTRAIT_MODIFIER_custom_headgear_crown_of_gardener_war_iron' is defined in both 'localization/russian/agot_westeroscrowns_portrait_modifiers_l_russian.yml' and 'localization/russian/agot/portraits/agot_portrait_modifiers_l_russian.yml'.","Reviewed same-object mod override","A Game of Thrones | Русификатор | AGOT - Crowns of Westeros - Русификация","localization/russian/agot_westeroscrowns_portrait_modifiers_l_russian.yml | localization/russian/agot/portraits/agot_portrait_modifiers_l_russian.yml","PORTRAIT_MODIFIER_custom_headgear_crown_of_gardener_war_iron","localization/russian/agot_westeroscrowns_portrait_modifiers_l_russian.yml","localization/russian/agot/portraits/agot_portrait_modifiers_l_russian.yml"
"45","11:20:54","pdx_localize.cpp:279","Duplicate localization key. Key 'PORTRAIT_MODIFIER_custom_headgear_female_crown_of_gardener_war_iron' is defined in both 'localization/russian/agot_westeroscrowns_portrait_modifiers_l_russian.yml' and 'localization/russian/agot/portraits/agot_portrait_modifiers_l_russian.yml'.","Reviewed same-object mod override","A Game of Thrones | Русификатор | AGOT - Crowns of Westeros - Русификация","localization/russian/agot_westeroscrowns_portrait_modifiers_l_russian.yml | localization/russian/agot/portraits/agot_portrait_modifiers_l_russian.yml","PORTRAIT_MODIFIER_custom_headgear_female_crown_of_gardener_war_iron","localization/russian/agot_westeroscrowns_portrait_modifiers_l_russian.yml","localization/russian/agot/portraits/agot_portrait_modifiers_l_russian.yml"
"46","11:20:54","localization_reader.cpp:535","Missing quoted string value for key 'sc_harpy_adherent_plural' at line 14 and column 26 in localization/russian/agot/religion/agot_religion_the_graces_l_russian.yml","Localization / dynamic text error","A Game of Thrones | Русификатор","localization/russian/agot/religion/agot_religion_the_graces_l_russian.yml","","",""
"47","11:20:54","pdx_localize.cpp:279","Duplicate localization key. Key 'artifact_vs_sword_1_name' is defined in both 'localization/russian/targ_artifacts_l_russian.yml' and 'localization/russian/artifacts/targ_artifacts_l_russian.yml'.","Identical localization definitions","Valyrian Steel | Valyrian Steel - Русификация","localization/russian/targ_artifacts_l_russian.yml | localization/russian/artifacts/targ_artifacts_l_russian.yml","artifact_vs_sword_1_name","localization/russian/targ_artifacts_l_russian.yml","localization/russian/artifacts/targ_artifacts_l_russian.yml"
"48","11:20:54","pdx_localize.cpp:279","Duplicate localization key. Key 'artifact_vs_sword_1_description' is defined in both 'localization/russian/targ_artifacts_l_russian.yml' and 'localization/russian/artifacts/targ_artifacts_l_russian.yml'.","Expected external translation override","Valyrian Steel | Valyrian Steel - Русификация","localization/russian/targ_artifacts_l_russian.yml | localization/russian/artifacts/targ_artifacts_l_russian.yml","artifact_vs_sword_1_description","localization/russian/targ_artifacts_l_russian.yml","localization/russian/artifacts/targ_artifacts_l_russian.yml"
